title,budget,revenue,popularity,release_date,imdb_score,runtime,genres
Bitter Moon,5000000.0,1862805.0,11.298195,1992-09-02,,,
Bullets Over Broadway,0.0,0.0,5.72288,1994-10-14,,,
Clear and Present Danger,62000000.0,215887717.0,7.513245,1994-08-03,,,
The Client,45000000.0,117615211.0,15.263829,1994-07-20,,,
"Corrina, Corrina",0.0,0.0,6.924689,1994-08-12,,,
Crooklyn,0.0,0.0,2.533022,1994-05-13,,,
The Crow,15000000.0,94000000.0,15.799336,1994-05-11,,,
Cobb,0.0,1007583.0,2.583363,1994-12-02,,,
The Flintstones,46000000.0,341631208.0,15.019586,1994-05-26,,,
Forrest Gump,55000000.0,677945399.0,48.307194,1994-07-06,8.8,142.0,
Four Weddings and a Funeral,6000000.0,254700832.0,8.990345,1994-03-09,,,
Higher Learning,0.0,38290723.0,7.817811,1995-01-11,,,
I Like It Like That,0.0,1777020.0,0.289295,1994-10-14,,,
I Love Trouble,45000000.0,61947267.0,3.570874,1994-06-29,,,
It Could Happen to You,0.0,0.0,11.272073,1994-07-29,,,
The Jungle Book,0.0,0.0,10.714235,1994-12-23,,,
"The Wonderful, Horrible Life of Leni Riefenstahl",0.0,449707.0,0.568884,1993-09-11,,,
The Lion King,45000000.0,788241776.0,21.605761,1994-06-23,,,
Little Buddha,35000000.0,4858139.0,5.681522,1993-12-01,,,
New Nightmare,14000000.0,18090181.0,9.860522,1994-10-13,,,
The Mask,23000000.0,351583407.0,14.13488,1994-07-29,,,
Maverick,0.0,0.0,15.050326,1994-05-20,,,
Mrs. Parker and the Vicious Circle,0.0,0.0,4.739054,1994-09-07,,,
The Naked Gun 33⅓: The Final Insult,30000000.0,51132598.0,10.587232,1994-03-18,,,
The Paper,6000000.0,0.0,4.006063,1994-03-18,7.4,48.0,
Reality Bites,11500000.0,20079850.0,6.514592,1994-02-18,,,
Red Rock West,8000000.0,2000000.0,5.137903,1993-07-08,,,
Ri¢hie Ri¢h,40000000.0,0.0,6.595255,1994-12-19,,,
Safe Passage,0.0,0.0,4.931565,1994-12-01,,,
The River Wild,45000000.0,0.0,10.511241,1994-09-30,,,
Speed,30000000.0,350448145.0,10.859292,1994-06-09,,,
Speechless,0.0,0.0,2.334226,1994-12-16,,,
Timecop,27000000.0,101646581.0,8.907074,1994-09-15,,,
True Lies,115000000.0,378882411.0,11.396099,1994-07-14,,,
